PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
10001,1.0000,400,0.936272,894,0.948761,728,0.972203
10005,1.0000,374,0.974406,264,0.901037,21,0.000000
10006,1.0000,842,0.907121,614,0.778384,342,0.898683
10007,0.9914,254,1.064552,135,1.114413,1,0.000000
10008,0.9996,56,0.981706,59,1.009905,4,0.000000
10009,1.0000,110,0.987408,133,0.961353,9,0.000000
10010,0.9997,326,1.012660,173,0.961932,13,0.000000
10011,0.9983,452,0.962547,417,0.866277,213,1.101957
10012,0.9985,210,0.951724,160,1.041812,79,1.009106
10016,0.9990,332,0.910868,323,0.988420,199,1.044043
10018,1.0000,0,0.000000,0,0.000000,0,0.000000
10019,0.9990,336,1.039518,289,0.865251,43,1.060667
10021,1.0000,183,0.958402,128,0.916135,15,0.000000
10022,0.9977,112,0.927783,77,1.059710,5,0.000000
10023,0.9958,214,1.172912,531,0.964433,379,1.139627
10024,0.9993,358,1.067625,533,0.968152,208,0.929810
10025,0.9984,113,1.034207,220,1.023554,56,1.024578
10027,1.0000,90,0.925620,25,0.990283,1,0.000000
10029,0.9966,260,0.803731,781,0.998124,321,1.139503
10032,0.9940,105,1.056858,76,1.059213,5,0.000000
10033,0.9990,343,1.084418,513,1.042845,262,1.056106
10034,0.9992,111,0.986613,115,1.027836,15,0.000000
10035,0.9996,432,0.951499,441,1.014381,99,0.928625
10036,0.9942,253,1.091128,224,1.040035,11,0.000000
10038,0.9993,250,0.955877,232,0.928912,65,1.077258
10039,1.0000,936,0.947976,1734,0.942788,1162,0.948818
10040,0.9966,459,1.047068,471,0.997980,219,1.135707
10043,0.9986,78,1.015395,47,0.968731,3,0.000000
10044,0.9968,244,1.031542,86,1.033985,6,0.000000
10045,0.9990,203,1.014796,123,0.947089,21,0.000000
10046,0.9961,393,1.089564,456,1.092290,145,1.031757
10047,0.9855,120,1.076837,103,1.172142,31,1.063452
10049,0.9980,190,1.104945,192,0.983243,20,0.000000
10050,0.9975,174,0.910152,76,1.104964,12,0.000000
10051,0.9941,39,1.031534,45,1.169362,1,0.000000
10052,0.9975,83,1.039930,54,1.003895,13,0.000000
10054,0.9963,257,1.096807,291,1.029460,9,0.000000
10055,0.9995,435,1.007796,629,0.955741,333,1.014366
10056,0.9980,499,1.056034,586,1.096408,250,0.978798
10058,1.0000,51,0.987163,33,0.971519,1,0.000000
10059,0.9913,179,1.141959,105,1.162834,34,1.024004
10061,0.9939,489,1.047100,165,1.099343,20,0.000000
10062,1.0000,236,0.989044,113,0.923813,13,0.000000
10065,0.9987,207,0.923888,208,0.924650,74,1.065846
10066,0.9944,114,0.956699,91,1.084590,1,0.000000
10069,1.0000,125,0.991207,121,0.910063,3,0.000000
10073,0.9987,125,0.970007,103,1.051277,23,0.000000
10078,0.9992,368,1.056432,712,0.991244,465,0.979987
10079,0.9996,203,0.983827,210,1.017394,22,0.000000
10083,0.9996,218,0.827466,344,1.015476,41,0.943721
10085,0.9984,374,1.073713,450,0.838058,52,0.944027
10086,0.9962,229,1.027288,102,1.085503,13,0.000000
10087,1.0000,14,0.000000,37,0.978646,12,0.000000
10089,1.0000,285,0.893370,249,0.912000,68,0.942501
10090,1.0000,465,0.912353,568,0.874527,200,0.974570
10091,1.0000,23,0.000000,49,0.969861,1,0.000000
10092,0.9983,726,1.027223,1087,1.045108,347,1.039773
10095,1.0000,42,0.969109,59,0.968385,1,0.000000
10097,0.9981,67,1.054256,55,1.023733,15,0.000000
10099,0.9976,153,1.044236,108,1.039765,8,0.000000
10100,1.0000,197,0.909525,372,0.942033,213,0.906864
10101,1.0000,100,0.979482,132,0.961162,21,0.000000
10102,1.0000,45,0.986272,23,0.000000,2,0.000000
