PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
10001,0.9953,423,1.069719765,961,0.933165111,772,1.024981721,329,1.088447781,689,1.057231139
10005,0.9906,672,0.946569614,384,0.978527393,41,0.943844381,246,1.291075181,618,0.932785579
10006,0.9991,719,1.026059192,761,0.948900278,307,0.930615434,347,0.906624935,691,0.957474044
10007,0.9963,164,1.032020223,111,0.966603887,12,0,22,0,131,1.027088959
10008,0.9999,63,0.977486145,33,1.002005184,4,0,0,0,61,0.979023449
10009,1.0000,15,0,11,0,3,0,0,0,13,0
10010,1.0000,21,0,13,0,1,0,10,0,19,0
10011,0.9930,522,0.958146558,348,0.90443228,277,1.035965034,360,1.163900183,283,0.956589071
10012,0.9903,236,1.128344718,167,1.045900592,97,1.001803567,48,1.035954082,234,1.013390104
10015,1.0000,0,0,0,0,0,0,0,0,0,0
10016,0.9946,351,1.05161143,389,0.975594596,246,1.062020051,200,1.078612303,312,0.894906921
10018,1.0000,0,0,0,0,0,0,0,0,0,0
10019,0.9967,392,0.977675096,376,1.014062806,15,0,370,0.847600202,443,1.094646134
10021,0.9929,144,1.012084832,90,0.933377423,5,0,49,1.165249083,116,1.010507714
10022,1.0000,110,0.945533224,37,0.972282191,1,0,0,0,101,0.93426636
10023,0.9956,193,1.003090622,558,1.069590026,366,1.056665559,480,1.023932155,266,0.983533574
10024,0.9943,369,0.943370158,579,0.92691906,292,0.940936784,386,1.176820149,417,0.914209717
10025,0.9992,92,0.915842707,183,0.990324619,29,1.019390998,27,1.039973707,104,0.935243354
10027,1.0000,17,0,3,0,1,0,0,0,6,0
10029,0.9875,328,0.899847551,711,1.02176642,298,1.043699589,655,1.211122052,440,0.948020324
10032,1.0000,98,0.988774925,41,0.99496416,6,0,0,0,62,0.935196764
10033,0.9928,483,1.170191821,659,1.084540955,353,1.117303538,310,1.431032463,298,1.038596494
10034,1.0000,107,0.953856281,119,0.950188503,4,0,0,0,117,0.978068146
10035,0.9943,448,1.077057854,520,1.002910697,101,0.952783145,338,0.938024873,335,1.07996678
10036,0.9986,266,0.949237299,173,1.036839851,7,0,172,0.962693116,250,0.99011772
10038,0.9869,205,1.047494241,192,1.198252896,61,1.068920752,65,1.090047395,299,1.031497393
10039,0.9930,1006,0.984384566,1790,0.981255669,1205,0.943710217,1821,1.159464078,1151,0.951730335
10040,0.9877,559,0.94956577,514,0.999551399,192,0.986232601,341,1.41712374,501,0.975080687
10043,1.0000,19,0,14,0,0,0,0,0,20,0
10044,1.0000,148,0.933337744,41,0.921054833,3,0,0,0,103,0.917141301
10045,0.9863,163,1.14232336,108,1.001120527,7,0,0,0,192,1.044796616
10046,0.9881,304,1.027449785,381,1.136023875,85,1.086429515,219,1.17378889,416,0.976040194
10047,0.9959,132,0.980473385,30,1.049838445,15,0,0,0,79,1.050916752
10049,0.9942,167,0.963197335,129,1.062674222,11,0,219,0.975716276,257,1.086547425
10050,1.0000,0,0,0,0,0,0,0,0,0,0
10051,0.9980,27,1.010256736,61,0.958361517,1,0,0,0,73,1.015756899
10052,0.9951,109,1.023031917,36,0.971893321,3,0,0,0,61,1.064497933
10054,0.9959,145,0.982178296,124,1.04393835,20,0,38,0.908084772,149,1.056362808
10055,0.9979,459,0.971622987,556,1.027055152,340,1.042085265,549,0.984456983,405,0.949864987
10056,0.9764,552,0.939643941,535,1.005541123,310,1.134391587,1489,1.242807638,448,0.988297007
10058,0.9952,61,1.038381028,16,0,2,0,0,0,11,0
10059,0.9984,134,0.886808739,66,1.044856911,14,0,0,0,121,0.979806859
10061,0.9969,312,0.992101799,184,1.062531043,17,0,32,1.061433062,338,0.955636865
10062,1.0000,188,0.988410599,82,0.968057351,11,0,0,0,146,0.962981376
10065,0.9951,205,1.000784795,236,0.878050808,57,0.922945344,90,1.163071325,219,0.911956509
10066,0.9959,37,0.993068286,32,1.030339514,1,0,0,0,16,0
10069,0.9974,116,0.975062249,105,1.003620586,11,0,0,0,101,1.052524278
10073,0.9969,118,0.912664191,75,0.986396992,11,0,0,0,128,1.056441719
10078,0.9853,426,0.980776775,632,0.936553335,399,1.083537413,372,1.355964749,528,0.905142849
