"PROVIDER_NUMBER","Hospital_Name","State","Num_DRG","Entire_100_Medicare_Payments","Entire_Medicare_Payments","Entire_100_Total_Payments","Entire_100_Covered_Charges","PNEUMONIA_193_Total_Discharges","PNEUMONIA_193_Average_Medicare_Payments","PNEUMONIA_193_Average_Total_Payments","Number_of_Pneumonia_Cases","Excess_Readmission_Ratio_for_Pneumonia","HF_291_Total_Discharges","HF_291_Average_Medicare_Payments","HF_291_Average_Total_Payments","Number_of_Heart_Failure_Cases","Excess_Readmission_Ratio_for_Heart_Failure","AMI_280_Total_Discharges","AMI_280_Average_Medicare_Payments","AMI_280_Average_Total_Payments","Number_of_Acute_Myocardial_Infarction_Cases","Acute_Myocardial_Infarction_Excess_Readmission_Ratio","HIP_480_Total_Discharges","HIP_480_Average_Medicare_Payments","HIP_480_Average_Total_Payments","Number_of_Hip_Knee_Arthroplasty_Cases","Hip_Knee_Arthroplasty_Excess_Readmission_Ratio","COPD_190_Total_Discharges","COPD_190_Average_Medicare_Payments","COPD_190_Average_Total_Payments","Number_of_Chronic_Obstructive_Pulmonary_Disease_Cases","Chronic_Obstructive_Pulmonary_Disease_Excess_Readmission_Ratio","Corrected_FY_2015_Readmissions_Adjustment_Factor","Readmissions_2015_penalty_100","Readmissions_2015_penalty_est","TOTAL_HOSPITAL_BEDS","TOTAL_HOSPITAL_MEDICARE_DAYS","TOTAL_HOSPITAL_DAYS","PERC_MEDICARE_DAYS","Bed_Utilization","TOTAL_HOSPITAL_MEDICARE_DISCHARGES","TOTAL_HOSPITAL_DISCHARGES","Address","City","ZIP_Code","County_Name","Hospital_Type","Hospital_Ownership","Emergency_Services","Average_100DRG_Medicare_Payments","Average_100DRG_Total_Payments","count_excess_ratio","count_excess_ratio_decimal","Salary_Adjusted_Factor","population_density","densityrank","TotalMCCPatients_gthan1","TotalMCCPatients","TotalreportedPatients","TotalreportedPatients_gthan1","Annual_increase_2015_2020","Annual_increase_2020_2025","Annual_increase_2025_2030","meet_eligibility","COPD_MCC_gthan1_meet_eligibility","PNEUMONIA_MCC_gthan1_meet_eligibility","HF_MCC_gthan1_meet_eligibility","AMI_MCC_gthan1_meet_eligibility","HIP_MCC_gthan1_meet_eligibility","Predicted_Readmission_Rate_2015_AMI","Predicted_Readmission_Rate_2015_COPD","Predicted_Readmission_Rate_2015_HF","Predicted_Readmission_Rate_2015_HIP","Predicted_Readmission_Rate_2015_PN","Expected_Readmission_Rate_2015_AMI","Expected_Readmission_Rate_2015_COPD","Expected_Readmission_Rate_2015_HF","Expected_Readmission_Rate_2015_HIP","Expected_Readmission_Rate_2015_PN","COPD_Total_Payments","HF_Total_Payments","PNE_Total_Payments","AMI_Total_Payments","HIP_Total_Payments","Aggregate_payments_all_discharge"
10001,"SOUTHEAST ALABAMA MEDICAL CENTER","AL",94,41159145.91,61394457.6516306,47484836.94,197564887.13,92,7428.29,8485.95,393,1.017987326,208,7605.83,8401.09,930,0.888694408,127,9334.9,10128.94,739,1.016814051,22,15794.27,16705.36,345,1.034179561,73,5843.44,6680.7,715,1.07999877,0.9968,131709.266911999,196462.264485217,398,46147,94934,0.486095603261213,0.682659188149426,8471,18489,"1108 ROSS CLARK CIRCLE","DOTHAN",36301,"HOUSTON","Acute Care Hospitals","Government - Hospital District or Authority","Yes",7247.60449198803,8361.47859482303,4,4.148979708,0.940724959,46.62363475,0.151101458268694,314,522,3122,2192,1.026426795,1.025084822,1.017306147,0.245330437480608,18,23,0,31,5,15.9,20.2,19.7,5.6,17.4,15.5,19.1,21.1,5.2,16.3,1396155.06,2791081.68,1221725.44,1890747.55,1417656.73,70830085.1767459
10005,"MARSHALL MEDICAL CENTER SOUTH","AL",69,19369146.47,24330366.4430175,22862002.63,51994382.95,141,7545.18,8692.74,544,0.996970616,102,7726.89,8569.85,330,0.89522935,13,6904.46,7450.92,30,0.951875861,13,16230.77,17219.69,198,1.229761578,96,5753.03,6819.86,520,0.948621089,0.9929,137520.939937,172745.601745424,204,18304,37535,0.487651525243106,0.50409615901155,3938,8849,"2505 U S HIGHWAY 431 NORTH","BOAZ",35957,"MARSHALL","Acute Care Hospitals","Government - Hospital District or Authority","Yes",6178.3561307815,7292.5048261563,1,1.229761578,0.940724959,89.45278189,0.271627906976744,13,365,1622,198,1.026426795,1.025084822,1.017306147,0.281488372093023,0,0,0,0,4,17,18.1,21.2,7,15.7,18.1,19.4,21.6,5.4,16.6,1531072.86,1322108.55,2046515.58,96861.96,728313.98,28717884.0054035
10006,"ELIZA COFFEE MEMORIAL HOSPITAL","AL",88,24436430.93,37364748.5708392,28899157.76,141048130.78,106,6921.87,7906.7,752,0.973554876,127,7233.94,7883.02,694,0.852850431,28,7820.75,8928.61,297,0.903099104,14,13684.29,14524,363,0.801897611,98,5049.18,6380.9,664,0.955893885,1,0,0,358,32493,61331,0.529797329246221,0.469357924542741,5867,13544,"205 MARENGO STREET","FLORENCE",35631,"LAUDERDALE","Acute Care Hospitals","Government - Hospital District or Authority","Yes",6368.62937972374,7531.70647902007,0,0,0.940724959,138.9566785,0.356589147286822,0,373,2770,0,1.026426795,1.025084822,1.017306147,0.306976744186047,0,0,0,0,0,13.5,17.1,19.4,4.3,15.8,14.6,17.8,20.5,4.7,15.4,1383480.39,1766807.83,1472926.27,408908,747673.97,44188521.9124108
10007,"MIZELL MEMORIAL HOSPITAL","AL",10,958499.52,2504124.20723247,1189736.2,2700847.36,NA,NA,NA,201,0.989053957,NA,NA,NA,111,1.052576969,NA,NA,NA,8,0,NA,NA,NA,23,0,13,5636.92,6354.77,137,1.037964732,0.9961,3738.14812800001,9766.08440820668,45,3331,5123,0.650204958032403,0.311902587519026,708,1573,"702 N MAIN ST","OPP",36467,"COVINGTON","Acute Care Hospitals","Voluntary non-profit - Private","Yes",3536.89859778598,4390.1704797048,2,2.090541701,0.940724959,74.41546103,0.238597579894508,13,13,480,248,1.026426795,1.025084822,1.017306147,0.271579273968352,4,NA,NA,NA,NA,NA,17.7,18.8,NA,14.6,NA,17.3,19.5,NA,14.2,257867.96,159090.04,340087.16,NA,NA,3108240.699631
10008,"CRENSHAW COMMUNITY HOSPITAL","AL",5,460146.86,1129020.13072165,553336.9,1249002.89,NA,NA,NA,61,0.992583866,NA,NA,NA,39,1.028412835,NA,NA,NA,4,0,NA,NA,NA,0,0,NA,NA,NA,70,0.983882675,0.999,460.14686,1129.02013072165,29,1148,1866,0.615219721329046,0.17628719886632,238,352,"101 HOSPITAL CIRCLE","LUVERNE",36049,"CRENSHAW","Acute Care Hospitals","Proprietary","No",4743.78206185567,5704.50412371134,1,1.028412835,0.940724959,22.84837172,0.0617054263565891,0,0,174,39,1.026426795,1.025084822,1.017306147,0.218511627906977,NA,NA,NA,NA,NA,NA,15.4,17.8,NA,13.4,NA,15.7,17.8,NA,13.7,81639.04,NA,56201.04,NA,NA,1357671.9814433
10011,"ST VINCENT'S EAST","AL",81,19840881.66,28776585.6415644,23673781.81,95653112.56,108,7131.54,8434.22,529,0.965440588,63,7447.65,8561.79,379,0.896141572,22,9198.91,10158.73,256,1.018833468,18,18713.78,19886.89,398,1.076272831,71,5655.99,6723.32,298,0.983008841,0.9965,69443.085809999,100718.049745474,313,24649,85909,0.286919880338498,0.751971639896713,4135,15186,"50 MEDICAL PARK EAST DRIVE","BIRMINGHAM",35235,"JEFFERSON","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6959.27101367941,8303.67653805682,2,2.095106299,0.940724959,592.9497401,0.637775706741224,40,282,1860,654,1.026426795,1.025084822,1.017306147,0.391332712022367,0,0,0,9,7,15.6,18,19.2,5.6,15.7,15.1,18.8,21.2,4.8,16.4,697338.72,925215.86,1352982.87,294125.04,1014640.08,34335702.484865
10012,"DEKALB REGIONAL MEDICAL CENTER","AL",35,3787136.79,5094032.86110831,4760951.35,29831084.56,22,7049.64,8012,259,1.094724807,17,7514.06,8655.76,163,1.020197641,11,7957.73,8915.73,94,1.009674979,NA,NA,NA,65,1.017291337,48,5190.19,6425.75,278,1.026067781,0.9927,27646.0985669999,37186.4398860905,97,4437,11338,0.391338860469219,0.320237254625053,1068,3145,"200 MED CENTER DRIVE","FORT PAYNE",35968,"DE KALB","Acute Care Hospitals","Proprietary","Yes",4769.69369017632,5996.16039042821,5,5.167956545,0.940724959,91.848685,0.275038759689922,98,98,859,859,1.026426795,1.025084822,1.017306147,0.282511627906977,14,6,5,3,NA,15.4,17.1,20,4.9,16.6,15.3,16.9,19.2,4.8,14.7,562590.18,314411.95,634264.28,252250.08,110396,6403899.29697733
10016,"SHELBY BAPTIST MEDICAL CENTER","AL",73,15682367.61,20509655.6253264,18850316.46,95944572.93,85,7741.92,8603.61,364,1.025911688,80,7809.05,8425.4,389,0.996799715,34,10150.29,10909.79,258,1.060057569,NA,NA,NA,193,1.231889627,72,5657.26,6657.03,319,0.906729091,0.9918,128595.414402,168179.176127676,212,16851,54312,0.310262925320371,0.70188679245283,3246,11158,"1000 FIRST STREET NORTH","ALABASTER",35007,"SHELBY","Acute Care Hospitals","Voluntary non-profit - Private","Yes",6318.43981063658,7594.80921031426,3,3.317858884,0.940724959,252.1644318,0.462635658914729,119,271,1523,815,1.026426795,1.025084822,1.017306147,0.338790697674419,0,29,0,12,NA,15.8,17.8,21.7,4.8,18.7,14.9,19.9,22.3,4.5,17.8,807307.26,1329935.59,1236529.65,494032.86,272477,24652750.6966801
10019,"HELEN KELLER MEMORIAL HOSPITAL","AL",60,12991718.42,16571839.1279678,15457999.12,50060833.89,41,7373.24,8706.93,396,0.958841502,69,7125.91,8347.62,337,0.98676111,NA,NA,NA,27,1.008672598,NA,NA,NA,311,0.892895329,71,5419.06,6646.38,417,1.035493566,0.9989,14290.8902619999,18229.0230407645,185,13617,27858,0.488800344604781,0.412558311736394,2856,6704,"1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD",35660,"COLBERT","Acute Care Hospitals","Government - Hospital District or Authority","Yes",5802.46468066101,6903.9745958017,2,2.044166164,0.940724959,91.98483977,0.276140242010549,71,181,1488,444,1.026426795,1.025084822,1.017306147,0.282842072603165,20,0,0,NA,NA,NA,18.9,21.1,3.8,15.4,NA,17.3,20.8,4.4,15.8,1266942.18,1182897.76,1081419.37,NA,458100.05,19717751.4456097
10021,"DALE MEDICAL CENTER","AL",15,2775363.76,4535350.53463415,3180694.91,6818379.71,20,7833.15,8642.25,163,1.072226572,34,7652.74,8388.18,77,0.923356108,NA,NA,NA,11,0,NA,NA,NA,36,1.102682914,36,5863.61,6928.67,118,1.022242011,0.9913,24145.6647120001,39457.5496513173,77,3162,8202,0.385515727871251,0.291834193204056,670,1806,"126 HOSPITAL AVE","OZARK",36360,"DALE","Acute Care Hospitals","Government - Hospital District or Authority","Yes",6769.17990243902,7757.79246341463,3,3.197151497,0.940724959,74.41546103,0.238597579894508,56,90,405,317,1.026426795,1.025084822,1.017306147,0.271579273968352,10,5,0,NA,NA,NA,19.2,20,6.5,16.8,NA,19,21.4,5.6,16.6,249432.12,390903.1,264956.04,NA,NA,5197720.9504878
