"PROVIDER_NUMBER","value_2011","value_2012","value_2013","value_2014","Y12_11","Y13_12","Y14_13","change","change2","min","max","year_change"
10001,7756,7790,7941,8471,1.00438370293966,1.01185596864837,1.02983020865782,1.03016991741938,1.01535662674861,1.01535662674861,1.03016991741938,1.02163088131527
10005,2109,3797,4045,3938,1.80037932669512,1.38490815658697,1.23140159188738,1.27974721282033,1.47222969172316,1.27974721282033,1.47222969172316,1.45585558297293
10006,5142,5039,5777,5867,0.979968883702839,1.05994943481106,1.04494798288399,1.04733517814593,1.02828876713263,1.02828876713263,1.04733517814593,1.03229652683417
10007,981,819,652,708,0.834862385321101,0.815247159260906,0.89699099562981,0.905614917322015,0.849033513403939,0.849033513403939,0.905614917322015,0.884678855564379
10008,361,374,217,238,1.03601108033241,0.775311571718749,0.870341953213039,0.904333059208038,0.893888201754733,0.893888201754733,0.904333059208038,0.898766711356909
10011,4063,4117,3986,4135,1.0132906719173,0.990478917665663,1.00587241256343,1.00628407298157,1.00321400071547,1.00321400071547,1.00628407298157,1.00457568859431
10012,1485,1416,1187,1068,0.953535353535354,0.894050669328422,0.895945514793088,0.897186483899533,0.914510512552288,0.897186483899533,0.914510512552288,0.905362053903877
10016,3585,3364,3443,3246,0.938354253835425,0.979995161232468,0.967430522216099,0.968206886225404,0.961926645761331,0.961926645761331,0.968206886225404,0.963080465407757
10018,32,23,10,25,0.71875,0.559016994374947,0.921007874660097,1.21784420289855,0.732924956345015,0.732924956345015,1.21784420289855,0.826322319753985
10019,2970,2950,3106,2856,0.993265993265993,1.02263935274917,0.987038102326997,0.988552657931917,1.00098114944739,0.988552657931917,1.00098114944739,0.991843798008824
10021,788,760,716,670,0.964467005076142,0.953220562946669,0.947362511493577,0.947442152726057,0.955016693172129,0.947442152726057,0.955016693172129,0.94888458152419
10022,479,386,458,410,0.805845511482255,0.977833658595924,0.949473353756816,0.962523505147267,0.911050841278331,0.911050841278331,0.962523505147267,0.924416493143485
10023,5273,5124,4542,4594,0.97174284088754,0.928099800410545,0.955090238782358,0.956536134575669,0.951644293360148,0.951644293360148,0.956536134575669,0.952291856402864
10024,5193,4926,4575,4653,0.948584633160023,0.938612617266431,0.964061878290858,0.964793081962468,0.950419709572437,0.950419709572437,0.964793081962468,0.954097235402185
10029,5836,5266,5077,5735,0.902330363262509,0.932708511767334,0.994197605931334,0.998681280368142,0.943078826987059,0.943078826987059,0.998681280368142,0.946594235071397
10032,374,383,386,227,1.02406417112299,1.01591611932153,0.84667762908973,0.873326656949908,0.96221930651142,0.873326656949908,0.96221930651142,0.949703741531416
10033,12318,12027,12020,11273,0.976376035070628,0.987829823907014,0.970881969459138,0.971215862887283,0.978362609478927,0.971215862887283,0.978362609478927,0.971557235801259
10034,702,701,612,639,0.998575498575499,0.933699561847853,0.969143116242866,0.971910554013153,0.967139392222072,0.967139392222072,0.971910554013153,0.971575455771648
10035,3102,2992,2874,3134,0.964539007092199,0.962548197692984,1.00342688478262,1.00518891784951,0.976838029855933,0.976838029855933,1.00518891784951,0.988077782878185
10036,1395,1383,1371,1417,0.991397849462366,0.991360529234814,1.00522947469654,1.00542440386286,0.995995951131241,0.995995951131241,1.00542440386286,0.996357367686604
10038,2092,1707,1406,1450,0.815965583173996,0.819807373728195,0.884984044228803,0.890309096003609,0.840252333710331,0.840252333710331,0.890309096003609,0.865774525162265
10039,14528,14577,14846,15555,1.00337279735683,1.01088514012217,1.02302927444438,1.02319449913601,1.01242907064113,1.01242907064113,1.02319449913601,1.01595540235592
10040,4619,4875,4980,5158,1.0554232517861,1.03834264330302,1.03747536196476,1.03756822840404,1.04374708568463,1.03756822840404,1.04374708568463,1.0385063137623
10044,502,436,442,185,0.868525896414343,0.938337938937461,0.716950772597652,0.766946466834449,0.841271535983152,0.766946466834449,0.841271535983152,0.798718049002377
10045,760,836,728,567,1.1,0.978720969859186,0.906963526347679,0.916553183658447,0.995228165402288,0.916553183658447,0.995228165402288,0.938613761912885
10046,3616,3035,2871,1939,0.839325221238938,0.891050637695778,0.812424719422059,0.820221137137329,0.847600192785592,0.820221137137329,0.847600192785592,0.847492901660074
10049,1514,1449,1188,1091,0.957067371202114,0.885819594516323,0.896533024574289,0.898431105316599,0.913139996764242,0.898431105316599,0.913139996764242,0.906219070814132
10051,308,220,231,207,0.714285714285714,0.866025403784439,0.875937681950014,0.886796536796537,0.818749600006722,0.818749600006722,0.886796536796537,0.856934229176574
10052,468,516,395,386,1.1025641025641,0.91870402960752,0.937807749550802,0.948427722802171,0.986358627240808,0.948427722802171,0.986358627240808,0.961674721870365
10055,5230,4852,4563,1097,0.927724665391969,0.934059173284509,0.594157585750527,0.702857869419387,0.818647141475668,0.702857869419387,0.818647141475668,0.81660080778095
10056,6594,6256,6041,6185,0.948741279951471,0.957149873898562,0.97888179959217,0.979403795113196,0.961590984480735,0.961590984480735,0.979403795113196,0.976741024820557
10058,136,144,145,191,1.05882352941176,1.03255821656129,1.11986280332255,1.12766978438885,1.0704148497652,1.0704148497652,1.12766978438885,1.11927829400997
10059,825,666,542,485,0.807272727272727,0.810536672192996,0.837714301914477,0.838640163142008,0.818507900460067,0.818507900460067,0.838640163142008,0.837538915047433
10061,1814,1622,1875,1549,0.894156560088203,1.01667464947674,0.948719975876764,0.958756721563858,0.953183728480567,0.953183728480567,0.958756721563858,0.953587767595972
10062,837,630,654,587,0.752688172043011,0.883946835035037,0.888459320514793,0.89611230898594,0.841698109197614,0.841698109197614,0.89611230898594,0.845037971271096
10065,734,1586,1586,1492,2.16076294277929,1.4699533811585,1.26675002365763,1.36716478084236,1.63248878253181,1.36716478084236,1.63248878253181,1.53679108613714
10069,764,716,615,661,0.93717277486911,0.897203333692831,0.952875221291353,0.956969356774208,0.929083776617764,0.929083776617764,0.956969356774208,0.955884523424248
10073,572,729,732,707,1.27447552447552,1.13124722307738,1.0731846733141,1.0814792484495,1.15963580695567,1.0814792484495,1.15963580695567,1.13745184066
10078,5483,4704,4934,5025,0.857924493890206,0.948616009070372,0.971342982026547,0.975087501766896,0.925961161662375,0.925961161662375,0.975087501766896,0.972877795831778
10079,1578,1780,1821,1788,1.12801013941698,1.07424038065847,1.04252586483453,1.04430731208142,1.08159212830333,1.04430731208142,1.08159212830333,1.04706935080341
10083,2232,2467,2445,2512,1.10528673835125,1.0466279699716,1.0401799579719,1.04125729583816,1.06403155543158,1.04125729583816,1.06403155543158,1.04264674194799
10085,3852,616,4311,4620,0.159916926272066,1.05790305723382,1.06247462274148,2.74332355157624,0.760098202082457,0.760098202082457,2.74332355157624,1.2900557257632
10086,1204,969,862,538,0.804817275747508,0.846136421538407,0.764513683431946,0.772841363175624,0.805155793572621,0.772841363175624,0.805155793572621,0.788728700228238
10087,1006,926,991,972,0.920477137176938,0.992516731960059,0.988604906146815,0.990499656216464,0.967199591761271,0.967199591761271,0.990499656216464,0.982938358006065
10089,2409,2345,2165,2171,0.97343295973433,0.948004830677108,0.965919664846902,0.966481753495749,0.962452485086113,0.962452485086113,0.966481753495749,0.964412940757468
10090,4669,4886,4949,5013,1.04647676161919,1.02954845198879,1.02397953469091,1.02410088328755,1.03333491609963,1.02410088328755,1.03333491609963,1.025552973689
10091,574,492,313,260,0.857142857142857,0.738441715538462,0.767986911394567,0.774664215149682,0.787857161358629,0.774664215149682,0.787857161358629,0.775448335335849
10092,11492,12189,12019,11476,1.06065088757396,1.0226719846391,0.999535693491002,1.00050847291756,1.02761952190136,1.00050847291756,1.02761952190136,1.0039719055491
10095,207,138,157,211,0.666666666666667,0.870892706526007,1.00640017421409,1.04943229022431,0.847986515802254,0.847986515802254,1.04943229022431,1.00496597274262
10097,623,450,406,406,0.7223113964687,0.80727033468252,0.866987153299288,0.874844539563641,0.798856294816836,0.798856294816836,0.874844539563641,0.848031706777574
10099,1015,1043,810,700,1.02758620689655,0.893325000573837,0.883508365381215,0.889463227383976,0.934806524283868,0.889463227383976,0.934806524283868,0.916867768250997
10100,3049,2875,3001,3252,0.94293210888816,0.992097340731437,1.0217179833839,1.02346566097189,0.985582477667834,0.985582477667834,1.02346566097189,0.994795410289278
10101,1086,1010,970,931,0.930018416206261,0.945085183294734,0.949962843042853,0.950069423414404,0.941688814181283,0.941688814181283,0.950069423414404,0.943597627051782
10102,119,72,114,111,0.605042016806723,0.97876615862897,0.977069235610237,1.05401985355546,0.853625803681977,0.853625803681977,1.05401985355546,0.939936423401049
10103,4905,4822,4572,4482,0.983078491335372,0.965458487840425,0.970385459123717,0.970515914929949,0.972974146099838,0.970515914929949,0.972974146099838,0.972622033376572
10104,4488,4025,3528,3451,0.896836007130125,0.886620694933573,0.916144623028616,0.917177449811721,0.899867108364104,0.899867108364104,0.917177449811721,0.91434426425749
10108,836,988,992,1133,1.18181818181818,1.08931302700987,1.10664385671722,1.10933462052944,1.12592502184842,1.10933462052944,1.12592502184842,1.11607155598403
10109,580,511,433,337,0.881034482758621,0.864032247163224,0.834450608645291,0.835561199053646,0.859839112855712,0.835561199053646,0.859839112855712,0.847756430185014
10110,492,364,343,367,0.739837398373984,0.834957766323971,0.906915839796199,0.917371978720909,0.827237001498051,0.827237001498051,0.917371978720909,0.843756052953254
10112,1423,1343,1163,1014,0.94378074490513,0.904039501870174,0.893191027288257,0.893878503697297,0.913670424687854,0.893878503697297,0.913670424687854,0.900901957368845
10113,9660,9054,8868,8719,0.937267080745342,0.958129647991465,0.966413935467999,0.96664056328403,0.953936888068269,0.953936888068269,0.96664056328403,0.965133254513285
10114,2388,2002,1752,1743,0.838358458961474,0.856544418993284,0.900370011433718,0.902782115928326,0.865090963129492,0.865090963129492,0.902782115928326,0.874578832001852
10118,2638,2372,2231,2076,0.899166034874905,0.919628431409919,0.923246179832343,0.923415651931256,0.914013548705722,0.914013548705722,0.923415651931256,0.91974465711302
10120,734,587,496,529,0.799727520435967,0.822039730670659,0.896574819350424,0.903744741612597,0.839447356819017,0.839447356819017,0.903744741612597,0.886970927252583
10125,1006,929,749,529,0.923459244532803,0.86286314278738,0.807146864049265,0.811992516748828,0.864489750456483,0.811992516748828,0.864489750456483,0.84362945311409
10126,782,688,647,655,0.879795396419437,0.909596464867941,0.942637795425617,0.94418904453213,0.910676552237665,0.910676552237665,0.94418904453213,0.937047061184058
10128,251,232,235,253,0.924302788844621,0.967602697433033,1.0026490189987,1.00460985600274,0.964851501758786,0.964851501758786,1.00460985600274,0.99429183736118
10129,520,531,518,548,1.02115384615385,0.99807507039994,1.01763586579526,1.01819559828034,1.01228826078302,1.01228826078302,1.01819559828034,1.01605929296591
10130,483,760,789,743,1.57349896480331,1.27810029836113,1.15437583698031,1.18445173729497,1.33532503338159,1.18445173729497,1.33532503338159,1.32649865255202
