"Provider_Number","Measure_Name","Number_of_Discharges_2015","Excess_Readmission_Ratio_2015","Predicted_Readmission_Rate_2015","Expected_Readmission_Rate_2015","Number_of_Readmissions_2015","Number_of_Discharges_2014","Excess_Readmission_Ratio_2014","Predicted_Readmission_Rate_2014","Expected_Readmission_Rate_2014","Number_of_Readmissions_2014","Number_of_Discharges_2013","Excess_Readmission_Ratio_2013","Predicted_Readmission_Rate_2013","Expected_Readmission_Rate_2013","Number_of_Readmissions_2013","Actual_Readmission_Rate_2015","Actual_Readmission_Rate_2014","Actual_Readmission_Rate_2013","expected_read_change","Y15_14_actual_read_change","Y14_13_actual_read_change"
10001,"AMI",772,1.025,15.9,15.5,124,739,1.0168,16.5,16.3,123,747,0.9808,16,16.4,119,0.160621761658031,0.166441136671177,0.159303882195448,0.950920245398773,0.965036437929147,1.0448027654905
10001,"COPD",689,1.0572,20.2,19.1,143,715,1.08,21.3,19.7,158,NA,NA,NA,NA,NA,0.207547169811321,0.220979020979021,NA,0.969543147208122,0.939216622880345,NA
10001,"HF",961,0.9332,19.7,21.1,185,930,0.8887,19.1,21.5,171,901,0.913,19.5,21.4,171,0.192507804370447,0.183870967741935,0.189789123196448,0.981395348837209,1.04697226938314,0.968817204301075
10001,"HIP",329,1.0884,5.6,5.2,20,345,1.0342,5.6,5.4,20,NA,NA,NA,NA,NA,0.060790273556231,0.0579710144927536,NA,0.962962962962963,1.04863221884499,NA
10001,"PNE",423,1.0697,17.4,16.3,78,393,1.018,16.5,16.2,66,368,0.969,15.7,16.2,56,0.184397163120567,0.16793893129771,0.152173913043478,1.00617283950617,1.09800128949065,1.10359869138495
10005,"AMI",NA,0.9438,17,18.1,NA,NA,0.9519,19,19.9,NA,18,NA,NA,NA,NA,NA,NA,NA,0.909547738693468,NA,NA
10005,"COPD",618,0.9328,18.1,19.4,107,520,0.9486,19.6,20.7,98,NA,NA,NA,NA,NA,0.173139158576052,0.188461538461538,NA,0.93719806763285,0.918697576117829,NA
10005,"HF",384,0.9785,21.2,21.6,80,330,0.8952,20.4,22.8,61,248,0.9453,21.8,23.1,51,0.208333333333333,0.184848484848485,0.205645161290323,0.947368421052632,1.12704918032787,0.898871063576945
10005,"HIP",246,1.2911,7,5.4,22,198,1.2298,7.2,5.8,18,NA,NA,NA,NA,NA,0.0894308943089431,0.0909090909090909,NA,0.931034482758621,0.983739837398374,NA
10005,"PNE",672,0.9466,15.7,16.6,102,544,0.997,17.1,17.2,93,331,0.9377,16.5,17.6,51,0.151785714285714,0.170955882352941,0.154078549848943,0.965116279069768,0.887864823348693,1.10953719723183
10006,"AMI",307,0.9306,13.5,14.6,38,297,0.9031,13.6,15,35,310,0.9275,14,15.1,40,0.123778501628664,0.117845117845118,0.129032258064516,0.973333333333333,1.05034899953466,0.913299663299665
10006,"COPD",691,0.9575,17.1,17.8,115,664,0.9559,17.3,18.1,112,NA,NA,NA,NA,NA,0.166425470332851,0.168674698795181,NA,0.983425414364641,0.986665288401901,NA
10006,"HF",761,0.9489,19.4,20.5,145,694,0.8529,18,21.1,116,652,0.8248,17.7,21.4,105,0.19053876478318,0.167146974063401,0.161042944785276,0.971563981042654,1.13994743758213,1.03790311513655
10006,"HIP",347,0.9066,4.3,4.7,13,363,0.8019,4.1,5.1,11,NA,NA,NA,NA,NA,0.037463976945245,0.0303030303030303,NA,0.92156862745098,1.23631123919309,NA
10006,"PNE",719,1.0261,15.8,15.4,115,752,0.9736,15.2,15.6,113,793,0.9425,14.7,15.5,113,0.159944367176634,0.150265957446809,0.14249684741488,0.987179487179487,1.06440853200733,1.05452127659575
10007,"AMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,"COPD",131,1.0271,17.7,17.3,25,137,1.038,18.5,17.8,28,NA,NA,NA,NA,NA,0.190839694656489,0.204379562043796,NA,0.971910112359551,0.933751363140677,NA
10007,"HF",111,0.9666,18.8,19.5,19,111,1.0526,21.7,20.6,27,115,1.0685,22.1,20.7,29,0.171171171171171,0.243243243243243,0.252173913043478,0.946601941747573,0.703703703703704,0.964585274930102
10007,"HIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,"PNE",164,1.032,14.6,14.2,26,201,0.9891,14.7,14.9,29,220,1.0439,16.2,15.5,38,0.158536585365854,0.144278606965174,0.172727272727273,0.953020134228188,1.09882253994954,0.835297198219427
10008,"AMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"COPD",NA,0.979,15.4,15.7,NA,NA,0.9839,15.9,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.975155279503105,NA,NA
10008,"HF",NA,1.002,17.8,17.8,NA,NA,1.0284,19.1,18.5,NA,51,0.9892,18.8,19,9,NA,NA,0.176470588235294,0.962162162162162,NA,NA
10008,"HIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10008,"PNE",NA,0.9775,13.4,13.7,NA,NA,0.9926,13.8,13.9,NA,57,0.9814,14.1,14.3,7,NA,NA,0.12280701754386,0.985611510791367,NA,NA
10011,"AMI",277,1.036,15.6,15.1,45,256,1.0188,15.6,15.3,41,239,1.0027,15.8,15.8,38,0.162454873646209,0.16015625,0.158995815899582,0.986928104575163,1.01435238179096,1.00729851973684
10011,"COPD",283,0.9566,18,18.8,48,298,0.983,18.9,19.2,55,NA,NA,NA,NA,NA,0.169611307420495,0.184563758389262,NA,0.979166666666667,0.918984902023772,NA
10011,"HF",348,0.9044,19.2,21.2,61,379,0.8961,19.3,21.6,67,388,0.9039,19.4,21.5,70,0.175287356321839,0.176781002638522,0.180412371134021,0.981481481481481,0.991550866357868,0.979871843196377
10011,"HIP",360,1.1639,5.6,4.8,23,398,1.0763,5.4,5.1,23,NA,NA,NA,NA,NA,0.0638888888888889,0.0577889447236181,NA,0.941176470588235,1.10555555555556,NA
10011,"PNE",522,0.9581,15.7,16.4,79,529,0.9654,16.1,16.7,83,484,0.9735,16.4,16.9,78,0.151340996168582,0.156899810964083,0.161157024793388,0.982035928143713,0.96457092738771,0.973583442392518
10012,"AMI",97,1.0018,15.4,15.3,15,94,1.0097,16.5,16.3,16,85,1.0357,16.9,16.3,16,0.154639175257732,0.170212765957447,0.188235294117647,0.938650306748466,0.908505154639174,0.904255319148937
10012,"COPD",234,1.0134,17.1,16.9,41,278,1.0261,17.7,17.2,51,NA,NA,NA,NA,NA,0.175213675213675,0.183453237410072,NA,0.982558139534884,0.955086308027483,NA
10012,"HF",167,1.0459,20,19.2,36,163,1.0202,20.8,20.4,35,148,1.0763,22.3,20.7,37,0.215568862275449,0.214723926380368,0.25,0.941176470588235,1.00393498716852,0.858895705521472
10012,"HIP",NA,1.036,4.9,4.8,NA,NA,1.0173,5.7,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.857142857142857,NA,NA
10012,"PNE",236,1.1283,16.6,14.7,47,259,1.0947,16.1,14.7,47,240,0.9553,14.8,15.5,33,0.199152542372881,0.181467181467181,0.1375,1,1.09745762711864,1.31976131976132
10016,"AMI",246,1.062,15.8,14.9,42,258,1.0601,17.4,16.4,48,234,1.0405,17.6,16.9,43,0.170731707317073,0.186046511627907,0.183760683760684,0.908536585365854,0.917682926829267,1.0124391563007
10016,"COPD",312,0.8949,17.8,19.9,48,319,0.9067,18.5,20.4,52,NA,NA,NA,NA,NA,0.153846153846154,0.163009404388715,NA,0.975490196078431,0.94378698224852,NA
10016,"HF",389,0.9756,21.7,22.3,83,389,0.9968,22.7,22.7,88,309,1.0205,22.6,22.2,71,0.213367609254499,0.226221079691517,0.229773462783172,0.982378854625551,0.943181818181818,0.9845396285166
10016,"HIP",200,1.0786,4.8,4.5,11,193,1.2319,6.4,5.2,16,NA,NA,NA,NA,NA,0.055,0.0829015544041451,NA,0.865384615384615,0.6634375,NA
10016,"PNE",351,1.0516,18.7,17.8,69,364,1.0259,18.5,18.1,69,331,0.9347,16.3,17.4,50,0.196581196581197,0.18956043956044,0.151057401812689,0.983425414364641,1.03703703703704,1.25489010989011
10018,"AMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"COPD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"HF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"HIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,"PNE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10019,"AMI",NA,NA,NA,NA,NA,NA,1.0087,20.4,20.3,NA,36,1.0303,20.9,20.3,9,NA,NA,0.25,NA,NA,NA
10019,"COPD",443,1.0946,18.9,17.3,90,417,1.0355,18.3,17.7,79,NA,NA,NA,NA,NA,0.203160270880361,0.189448441247002,NA,0.977401129943503,1.07237763236849,NA
10019,"HF",376,1.0141,21.1,20.8,80,337,0.9868,21.3,21.6,71,305,0.9085,19.7,21.7,55,0.212765957446809,0.210682492581602,0.180327868852459,0.962962962962963,1.00988912196584,1.16833018613434
10019,"HIP",370,0.8476,3.8,4.4,11,311,0.8929,4.5,5,12,NA,NA,NA,NA,NA,0.0297297297297297,0.0385852090032154,NA,0.88,0.770495495495495,NA
10019,"PNE",392,0.9777,15.4,15.8,59,396,0.9588,15.3,15.9,58,334,0.9496,15.5,16.3,49,0.150510204081633,0.146464646464646,0.146706586826347,0.993710691823899,1.02762139338495,0.998350855493712
10021,"AMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10021,"COPD",116,1.0105,19.2,19,23,118,1.0222,19,18.6,24,NA,NA,NA,NA,NA,0.198275862068966,0.203389830508475,NA,1.02150537634409,0.974856321839081,NA
10021,"HF",90,0.9334,20,21.4,14,77,0.9234,20.2,21.9,11,90,0.9321,22.1,23.7,16,0.155555555555556,0.142857142857143,0.177777777777778,0.977168949771689,1.08888888888889,0.803571428571428
10021,"HIP",NA,1.1652,6.5,5.6,NA,NA,1.1027,6.2,5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
10021,"PNE",144,1.0121,16.8,16.6,25,163,1.0722,17.7,16.5,33,166,0.9978,17.5,17.6,29,0.173611111111111,0.202453987730061,0.174698795180723,1.00606060606061,0.857533670033671,1.15887455045483
10022,"AMI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,"COPD",101,0.9343,17.4,18.6,13,123,0.9267,16.5,17.8,15,NA,NA,NA,NA,NA,0.128712871287129,0.121951219512195,NA,1.04494382022472,1.05544554455446,NA
10022,"HF",NA,0.9723,20.6,21.2,NA,NA,0.9759,19.5,20,NA,57,1.006,20.5,20.4,12,NA,NA,0.210526315789474,1.06,NA,NA
10022,"HIP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10022,"PNE",110,0.9455,15.1,16,13,110,0.9729,15.1,15.5,15,97,1.0194,16.4,16.1,17,0.118181818181818,0.136363636363636,0.175257731958763,1.03225806451613,0.866666666666668,0.778074866310158
10023,"AMI",366,1.0567,16.4,15.6,63,399,1.0913,17.9,16.4,76,385,1.0562,17.3,16.3,69,0.172131147540984,0.19047619047619,0.179220779220779,0.951219512195122,0.903688524590168,1.06280193236715
10023,"COPD",266,0.9835,20,20.3,52,276,0.9383,19.8,21.1,50,NA,NA,NA,NA,NA,0.195488721804511,0.181159420289855,NA,0.962085308056872,1.0790977443609,NA
10023,"HF",558,1.0696,23.3,21.8,134,578,1.057,23.7,22.4,140,537,1.0136,22.8,22.5,123,0.240143369175627,0.242214532871972,0.229050279329609,0.973214285714286,0.991449052739376,1.05747320448983
